T003 4 05-07 22:00
T008 4 05-07 23:00
T013 4 05-08 01:00
T018 4 05-08 02:00
T023 4 05-08 03:00
T028 4 05-08 04:00
T033 4 05-08 05:00
T038 4 05-08 06:00
T043 4 05-08 07:00
T048 4 05-08 08:00
T053 4 05-08 09:00
T058 4 05-08 10:00
T063 4 05-08 11:00
T068 4 05-08 12:00
T073 4 05-08 13:00
T078 4 05-08 14:00
T083 4 05-08 15:00
T088 4 05-08 16:00
T093 4 05-08 17:00
T098 4 05-08 18:00
T103 4 05-08 19:00
T108 4 05-08 20:00
T113 4 05-08 21:00
T118 4 05-08 22:00
T123 4 05-08 23:00
T128 4 05-09 00:00
T133 4 05-09 01:00
T138 4 05-09 02:00
T143 4 05-09 03:00
T148 4 05-09 04:00
T153 4 05-09 05:00
T158 4 05-09 06:00
T163 4 05-09 07:00
T168 4 05-09 08:00
T173 4 05-09 09:00
T178 4 05-09 10:00
T183 4 05-09 11:00
T188 4 05-09 12:00
T193 4 05-09 13:00
T198 4 05-09 14:00
T203 4 05-09 15:00
T208 4 05-09 16:00
T213 4 05-09 17:00
T218 4 05-09 18:00
T223 4 05-09 19:00
T228 4 05-09 20:00
T233 4 05-09 21:00
T238 4 05-09 22:00
T243 4 05-09 23:00
T248 4 05-10 00:00
T253 4 05-10 01:00
T258 4 05-10 21:03
